Nome,Garantia,Cor,Fabricante/marca ,Modelo ,Numero de serie ,Data de fabricação,Validade ,Condição/localização,Patrimonio ,Quantidade,,,
Módulo emissor de infravermelho ,n/info,,DESCONHECIDO,KY-005,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,14,,,
diodo,n/info,,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,muitos ,,,
LED RGB,n/info,,DESCONHECIDO,4 PINOS ,DESCONHECIDO ,N/INFORMADO,n/info,caixa organiza,,4,,,
Sensor indução magnética,n/info,,DESCONHECIDO,Ky-021,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
Módulo Enconder Rotativo ,n/info,,DESCONHECIDO,KY-040,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
Módulo Led Bicolor ,n/info,,DESCONHECIDO,5mm KY-011,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
Potenciômetro ,n/info,,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,22,,,
Módulo  NodeMCU,n/info,,DESCONHECIDO,ESP32-S,DESCONHECIDO ,N/INFORMADO,n/info,caixa ,,14,,,
MÓdulo NodeMCU,n/info,,DESCONHECIDO,ESP8266,DESCONHECIDO ,N/INFORMADO,n/info,caixa ,,5,,,
Módulo sensor de luz c/ fotoresitor,n/info,,DESCONHECIDO,Light-sensor,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,14,,,
Módulo Bluetooth,n/info,,DESCONHECIDO,HC-05,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
Módulo Bluetooth 4.0,n/info,,DESCONHECIDO,HM-10,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,5,,,
Chave de toque/ Mini interruptor ,n/info,,DESCONHECIDO,5mm/HH,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,48/25,,,
Par Módulos de rádio frequência ,n/info,,DESCONHECIDO,433MHz,DESCONHECIDO ,N/INFORMADO,n/info,caixa organiza,,9,,,
Micro servo motor ,n/info,,DESCONHECIDO,SG90,DESCONHECIDO ,N/INFORMADO,n/info,Gaveteiro/Arm03,,67,,,
Módulo relógio de tempo real ,n/info,,DESCONHECIDO,DS1307,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
